NEONsite,FluxnetSite,location,month,GPP_2001,GPP_2002,GPP_2003,GPP_2004,GPP_2005,GPP_2006,GPP_2007,GPP_2008,GPP_2009,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,NEE_2001,NEE_2002,NEE_2003,NEE_2004,NEE_2005,NEE_2006,NEE_2007,NEE_2008,NEE_2009,NEE_2010,NEE_2011,NEE_2012,NEE_2013,NEE_2014,NEE_2015,TER_2001,TER_2002,TER_2003,TER_2004,TER_2005,TER_2006,TER_2007,TER_2008,TER_2009,TER_2010,TER_2011,TER_2012,TER_2013,TER_2014,TER_2015
BLAN,US-xBL,Blandy Experimental Farm NEON,7,7.787531128,7.643631583,7.642835567,7.519264415,7.628105979,7.650489701,6.854157708,7.670357331,7.430688048,6.739769475,6.689995961,6.903597178,7.409460842,7.285770511,7.413824781,-3.209127947,-2.861996577,-2.947598962,-2.746586584,-2.884599874,-2.992564188,-2.47115907,-3.090232914,-3.005470172,-2.21397663,-2.326008991,-2.42647078,-2.66039026,-2.88957449,-2.852218828,4.57839634,4.766837052,4.721722454,4.719771237,4.740935058,4.716177761,4.429717595,4.631166188,4.489361329,4.494565926,4.397834686,4.490602495,4.70690303,4.420095796,4.602868209
BLAN,US-xBL,Blandy Experimental Farm NEON,8,7.028533662,6.442741307,6.685989631,6.572439193,6.537410835,6.118253147,6.420908435,6.52452336,6.568772182,5.695225027,5.44934218,5.80858257,5.967647728,6.303630692,5.979280236,-2.487666888,-2.002723028,-2.145254927,-2.248391556,-2.060875118,-1.96334584,-1.938835825,-2.330311692,-2.255486401,-1.531390091,-1.457833907,-1.846942469,-1.826756924,-2.005674781,-1.869387743,4.53908503,4.410741682,4.544920175,4.317365133,4.449026239,4.222514381,4.447276044,4.242974271,4.327937005,4.187196114,3.986799716,4.024345684,4.091675261,4.230268038,4.124334313
BLAN,US-xBL,Blandy Experimental Farm NEON,9,5.176987389,4.788028928,4.826305003,4.339244755,4.582064327,4.915988172,5.508456598,4.844804636,4.145552747,4.236803357,4.316340813,4.309302423,4.290713749,4.267372797,3.952054326,-1.523003037,-1.055037516,-1.06302705,-0.754450232,-1.046513952,-1.014137801,-1.595895719,-1.055294234,-0.711297721,-0.839994362,-0.591302796,-0.990947543,-1.010558618,-0.810645196,-0.569993181,3.63824351,3.721951497,3.589175295,3.509203692,3.573843109,3.759953563,3.881588342,3.678926852,3.407646232,3.45034749,3.63409972,3.310277558,3.296538044,3.418514898,3.374816369
BLAN,US-xBL,Blandy Experimental Farm NEON,10,2.065664412,2.108888745,2.188005161,2.200476459,2.210058535,2.347522944,2.720675644,2.45381462,1.679385791,2.521839548,2.257759471,1.622891367,1.635731498,1.740910608,1.894600988,0.20896046,0.341798757,0.195224808,0.16542076,0.321106845,0.084604699,-0.009309063,-0.034344686,0.472162507,-0.012167002,0.231382421,0.471099058,0.478061815,0.536541081,0.285143776,2.314005436,2.357011052,2.381325134,2.348291982,2.544604284,2.342716543,2.697153722,2.343874419,2.181587056,2.479429863,2.445223437,2.103540694,2.138194034,2.294255788,2.201200737
BLAN,US-xBL,Blandy Experimental Farm NEON,11,0.714463917,0.661196335,0.74130633,0.861065809,0.71381415,0.788580347,0.699946201,0.599140531,0.695091975,0.747009116,0.757268105,0.668079189,0.539922096,0.608150897,0.764095743,0.767391997,0.62477526,0.626696331,0.610405693,0.619280785,0.6540323,0.643052586,0.633188047,0.740184031,0.578564165,0.623079178,0.614856722,0.66966416,0.689877412,0.66315224,1.512373282,1.230007318,1.350154743,1.461312637,1.283321347,1.448477538,1.299159583,1.165289766,1.463434595,1.268999778,1.349075698,1.221644687,1.163970779,1.262576349,1.430535469
BLAN,US-xBL,Blandy Experimental Farm NEON,12,0.416149129,0.414446686,0.44848603,0.39231974,0.365134217,0.558730251,0.427375824,0.41094171,0.257671156,0.308787543,0.474875912,0.40795115,0.323660828,0.394866541,0.473718893,0.636199,0.590718815,0.582223222,0.559378617,0.58251364,0.600391818,0.612195605,0.651397446,0.587917931,0.531999661,0.597336081,0.595079792,0.597734034,0.643346824,0.659743149,0.990723139,0.920760903,0.938580375,0.84863547,0.875749797,1.098513444,0.940774214,1.000494618,0.793135827,0.729213635,0.984975701,0.910404279,0.835795327,0.963760573,1.095641338
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,1,0.564639395,0.551149841,0.613645763,0.488471905,0.520859582,0.412300153,0.595666262,0.408837653,0.47999214,0.469873331,0.442415329,1.055107521,0.422472899,0.565564235,0.449017243,0.140964023,0.160874934,0.18698583,0.272532229,0.235637511,0.390468213,0.157548714,0.233920242,0.249459653,0.187794025,0.23315967,-0.094377737,0.195507549,0.103324503,0.20827396,1.41E+36,0.754288092,0.824497506,0.811620304,0.816197295,0.78977781,0.762977715,0.701892053,0.731655327,0.702388215,0.725043686,0.935648949,0.686543808,0.719138068,0.694188105
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,2,0.757939948,0.665122814,0.66378859,0.525643047,0.577049708,0.44898746,0.770133668,0.465948151,0.55149326,0.534320569,0.5543327,1.265937232,0.583032139,0.620902172,0.65259287,0.042186212,0.115941682,0.23144617,0.177183552,0.304848119,0.33781992,0.054832029,0.260904647,0.255068746,0.185837987,0.252909002,-0.120915142,0.214139372,0.16465255,0.229270718,0.864503152,0.845968668,0.894201526,0.75247746,0.911489674,0.778541775,0.853898414,0.772632608,0.845408628,0.739439918,0.88014063,1.108214981,0.85211288,0.806230589,0.910343117
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,3,1.335019666,1.131063946,1.331450037,1.150144576,1.228081029,0.80381105,1.62740323,0.929458826,0.785384458,1.150254817,0.869981125,2.765153818,1.097181617,0.886979987,1.1475286,-0.064849192,0.016473677,-0.104319881,0.05189185,-0.095419035,0.185669601,-0.15135177,0.128169338,0.352364873,-0.060813932,0.200494045,-0.588389932,-0.098200694,0.08891401,0.089403752,1.297305083,1.210733432,1.26044869,1.263552787,1.212286448,1.068504917,1.52216041,1.149284138,1.195521917,1.169054851,1.159550764,2.027902799,1.081431216,1.049035938,1.271663386
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,4,3.680923313,3.012716114,3.036929025,3.19087408,3.052451107,2.435597324,4.049252827,2.990176564,1.986881973,3.312109194,2.11455715,4.041394724,2.904365438,2.335564317,3.527195981,-0.938702977,-0.557099153,-0.817349518,-0.710169773,-0.81807552,-0.417738964,-1.110710679,-0.697225448,-0.22272183,-0.829875966,-0.287927457,-1.081175822,-0.687789331,-0.499807246,-0.693830766,2.579372207,2.436542371,2.221507357,2.408839163,2.217454833,2.108487834,2.699884887,2.271951018,1.85588418,2.425450032,1.936220837,2.760075523,2.194106808,1.900294248,2.689311849
CLBJ,US-xCL,Lyndon B. Johnson National Grassland NEON,5,3.8937706,4.532178449,3.597016158,3.84719838,3.317087376,3.797954405,4.627692849,4.006174676,3.826748773,4.067211558,3.483077069,2.401976938,3.147322737,2.910133531,3.549661942,-0.90194796,-1.156920861,-0.698772943,-0.76404648,-0.617850166,-0.940114548,-1.098734911,-0.978490292,-0.821302183,-0.926315832,-0.81020654,-0.238954391,-0.541787419,-0.457752792,-0.482986665,2.919527072,3.156417141,2.892923681,2.989727401,2.723340395,2.869187414,3.219395394,2.963078468,2.973465985,3.063195626,2.702151513,2.333302177,2.659744103,2.537848219,2.954724623
